PostcardID,ArtistName,WorkTitle,PostcardSize,PostcardPrice,QuantityOnHand,QuantityOnOrder
1,"Chagall, Marc                  ",I and the Village                  ,"4"" x 6""", $3.00 ,3,10
2,"Chagall, Marc                  ",The Fiddler                        ,"4"" x 6""", $3.00 ,3,10
3,"Graves, Morris",Night Bird                         ,"4"" x 6""", $3.00 ,3,10
4,"Graves, Morris",Sunflower                          ,"4"" x 6""", $3.00 ,3,10
5,"Graves, Morris",Surf and Bird                      ,"3"" x 5""", $2.50 ,5,0
6,"Graves, Morris",Surf and Bird                      ,"4"" x 6""", $3.00 ,10,0
7,"Graves, Morris",Surf and Bird                      ,"7"" x 10""", $5.00 ,8,0
8,"Horiuchi, Paul",Color Floating in Time             ,"4"" x 6""", $3.00 ,3,10
9,"Horiuchi, Paul",Into Time                          ,"4"" x 6""", $3.00 ,2,10
10,"Horiuchi, Paul",Memories IV                        ,"4"" x 6""", $3.00 ,2,10
11,"Horiuchi, Paul",Yellow Covers Blue                 ,"4"" x 6""", $3.00 ,3,10
12,"Kandinsky, Wassily",Der Blaue Reiter                   ,"4"" x 6""", $3.00 ,5,0
13,"Klee, Paul",Angelus Novus                      ,"4"" x 6""", $3.00 ,4,10
14,"Matisse, Henri",The Dance                          ,"4"" x 6""", $3.00 ,3,10
15,"Matisse, Henri",Woman with a Hat                   ,"4"" x 6""", $3.00 ,2,10
16,"Sargent, John Singer",Claude Monet Painting              ,"4"" x 6""", $3.00 ,3,10
17,"Sargent, John Singer",Spanish Dancer                     ,"4"" x 6""", $3.00 ,3,10
18,"Tobey, Mark",Blue Interior                      ,"4"" x 6""", $3.00 ,5,0
19,"Tobey, Mark",Broadway Boggie                    ,"4"" x 6""", $3.00 ,5,0
20,"Tobey, Mark",Farmer's Market #2                 ,"3"" x 5""", $2.50 ,3,10
21,"Tobey, Mark",Farmer's Market #2                 ,"4"" x 6""", $3.00 ,10,10
22,"Tobey, Mark",Farmer's Market #2                 ,"7"" x 10""", $5.00 ,7,10
23,"Tobey, Mark",Forms in Progress I                ,"4"" x 6""", $3.00 ,5,0
24,"Tobey, Mark",Forms in Progress II               ,"4"" x 6""", $3.00 ,2,10
25,"Tobey, Mark",The Woven World                    ,"4"" x 6""", $3.00 ,5,0
26,"Tobey, Mark",Universal Field                    ,"4"" x 6""", $3.00 ,5,0
